"_id","service","serviceSchedule","serviceDurationInMinutes","repeatsEveryXWeeks"
"76da68c5-b41c-4710-8035-6770a662be80","76da68c5-b41c-4710-8035-6770a662be80","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",0,1
"7a57bc81-a4b8-4189-99d4-55cb9dc8ae2e","7a57bc81-a4b8-4189-99d4-55cb9dc8ae2e","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"7e5e9492-03ae-4869-b0d3-ea644a8a2750","7e5e9492-03ae-4869-b0d3-ea644a8a2750","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"81c36446-205a-4218-8d3f-3a13c3a79bf8","81c36446-205a-4218-8d3f-3a13c3a79bf8","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"8369ca1e-77ec-48e0-ba0f-b575d33d7774","8369ca1e-77ec-48e0-ba0f-b575d33d7774","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",540,1
"84ea40b5-bd99-43d6-8a37-7ee350d24844","84ea40b5-bd99-43d6-8a37-7ee350d24844","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
"8c083418-27d1-4f2e-b0ed-083aa34e5a02","8c083418-27d1-4f2e-b0ed-083aa34e5a02","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",540,1
"98d66583-52d1-4e29-8c38-13f6501f13da","98d66583-52d1-4e29-8c38-13f6501f13da","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"a0db53e5-87f2-4b11-bf66-32a8c7b3b110","a0db53e5-87f2-4b11-bf66-32a8c7b3b110","{""mon"":[],""tue"":[],""wed"":[{""startTime"":""15:00:00"",""endTime"":""16:30:00""}],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"a341c3e7-9650-45b9-8b31-718dcaf8d02e","a341c3e7-9650-45b9-8b31-718dcaf8d02e","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",510,1
"a3ea930a-bc02-46b5-83f9-a8c9c91e443d","a3ea930a-bc02-46b5-83f9-a8c9c91e443d","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"a82332f6-93b0-49a4-9573-09d1f6e10dff","a82332f6-93b0-49a4-9573-09d1f6e10dff","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",540,1
"abd2a44a-c894-4430-b97d-f6747f897ac0","abd2a44a-c894-4430-b97d-f6747f897ac0","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",510,1
"ac38e213-0fb1-44bf-9bc0-afcd8581144b","ac38e213-0fb1-44bf-9bc0-afcd8581144b","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[{""startTime"":""09:00:00"",""endTime"":""12:00:00""}],""sat"":[],""sun"":[]}",180,1
"ae8be205-01ca-4d2c-9636-ba9ce35ba4af","ae8be205-01ca-4d2c-9636-ba9ce35ba4af","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"b0d5dbdd-0ab8-498b-81eb-0b7143e78e8c","b0d5dbdd-0ab8-498b-81eb-0b7143e78e8c","{""mon"":[{""startTime"":""15:30:00"",""endTime"":""17:00:00""}],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"b1fd9bb2-1554-472c-932a-fc4cae2efa6b","b1fd9bb2-1554-472c-932a-fc4cae2efa6b","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"b2b0df64-d4db-49bb-8f0f-092f3921843d","b2b0df64-d4db-49bb-8f0f-092f3921843d","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",180,1
"b37b9e80-cc10-41eb-988d-215eec8b7e2a","b37b9e80-cc10-41eb-988d-215eec8b7e2a","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",480,1
"b59d168b-aa40-47aa-ab08-4c7643aaa1d6","b59d168b-aa40-47aa-ab08-4c7643aaa1d6","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",0,1
"b8013cc4-134e-4a44-a74f-8dc8bc495eb0","b8013cc4-134e-4a44-a74f-8dc8bc495eb0","{""mon"":[],""tue"":[{""startTime"":""15:30:00"",""endTime"":""17:00:00""}],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"b9450f72-dd28-4d8e-90a6-9e66f33fd5d0","b9450f72-dd28-4d8e-90a6-9e66f33fd5d0","{""mon"":[],""tue"":[],""wed"":[{""startTime"":""08:30:00"",""endTime"":""15:30:00""}],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",420,1
"bea7a975-e5e7-41ba-9282-b78b2d76603c","bea7a975-e5e7-41ba-9282-b78b2d76603c","{""mon"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""tue"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""wed"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""thu"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""fri"":[{""startTime"":""08:30:00"",""endTime"":""17:30:00""}],""sat"":[],""sun"":[]}",540,1
"c39726cf-51c3-427c-94b9-8ae2be797114","c39726cf-51c3-427c-94b9-8ae2be797114","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"c686cd78-227e-4b89-90fc-e1f6d924c409","c686cd78-227e-4b89-90fc-e1f6d924c409","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",0,1
"c8e15e1a-d3d5-4fe1-adad-af0b7a316fa9","c8e15e1a-d3d5-4fe1-adad-af0b7a316fa9","{""mon"":[],""tue"":[],""wed"":[],""thu"":[{""startTime"":""08:30:00"",""endTime"":""15:30:00""}],""fri"":[],""sat"":[],""sun"":[]}",420,1
"ca518126-1b50-4b63-ab06-18f43866518b","ca518126-1b50-4b63-ab06-18f43866518b","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",480,1
"cb217d86-a963-4421-b7f4-64de09d51c24","cb217d86-a963-4421-b7f4-64de09d51c24","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[{""startTime"":""13:00:00"",""endTime"":""14:30:00""}],""sun"":[]}",90,1
"cb7179f5-86d5-421f-826d-2fbb9e087b0b","cb7179f5-86d5-421f-826d-2fbb9e087b0b","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"cc063de0-17c4-47af-b94a-4c93a1f6a57c","cc063de0-17c4-47af-b94a-4c93a1f6a57c","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"cdb5f8f4-94d6-4c88-8d47-c93c72dc749a","cdb5f8f4-94d6-4c88-8d47-c93c72dc749a","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",90,1
"d3d4a629-af96-412e-884f-37c139192768","d3d4a629-af96-412e-884f-37c139192768","{""mon"":[],""tue"":[],""wed"":[],""thu"":[],""fri"":[],""sat"":[],""sun"":[]}",510,1
